institution name,state,tot_grad,nonres_grad,pell_grad,urm_grad,ai_per,black_per,hispanic_per,pi_per,nonres_per,ai_grad,pi_grad,black_grad,hisp_grad
University of Alabama at Birmingham,Alabama,64,63,55,55.6875,0,25,7,0,3,55,100,57,51
Amridge University,Alabama,50,,,URM proportions reported; missing matching grad rates,0,66,3,0,0,,,,
University of Alabama in Huntsville,Alabama,63,68,50,50,1,9,7,0,1,33,,48,55
The University of Alabama,Alabama,73,73,59,62.47058824,0,11,6,0,1,58,57,60,67
Auburn University,Alabama,81,70,71,73,0,4,4,0,3,57,100,69,77
Birmingham-Southern College,Alabama,65,,60,50.57142857,0,15,6,0,2,,,44,67
Huntingdon College,Alabama,50,,46,54.12,0,19,6,0,0,,,51,64
Jacksonville State University,Alabama,52,49,43,37,0,24,0,0,2,29,0,37,60
University of Montevallo,Alabama,55,56,47,58.33333333,0,17,7,0,3,0,,56,64
University of North Alabama,Alabama,52,50,39,38.23529412,1,10,6,0,5,70,,31,45
Samford University,Alabama,78,64,68,69.55555556,0,5,4,0,1,,,70,69
Spring Hill College,Alabama,62,43,45,62.22727273,1,13,9,0,9,,50,52,77
Tuskegee University,Alabama,67,,97,74.12903226,0,91,2,2,0,,,74,80
Brookline College-Phoenix,Arizona,63,,100,28.88888889,7,13,32,1,0,,,100,0
Arizona State University Campus Immersion,Arizona,67,75,60,58.96774194,1,4,26,0,7,46,44,49,61
University of Arizona,Arizona,68,71,60,61.60606061,1,4,28,0,5,45,50,56,63
Embry-Riddle Aeronautical University-Prescott,Arizona,71,74,64,60.42105263,1,2,15,1,9,67,100,33,61
Northern Arizona University,Arizona,59,50,52,51.71875,3,3,26,0,2,33,39,42,55
Prescott College,Arizona,55,100,50,72.22222222,1,4,4,0,1,50,,100,50
University of Arkansas,Arkansas,69,77,54,62.3125,1,4,11,0,2,56,20,62,63
Arkansas State University,Arkansas,51,29,43,42.94444444,0,13,5,0,6,43,,41,48
University of Central Arkansas,Arkansas,50,31,41,43.33333333,0,17,7,0,4,56,,41,49
Harding University,Arkansas,69,82,57,54,0,5,4,0,5,67,,42,69
Hendrix College,Arkansas,69,100,65,73.05555556,1,8,9,0,3,100,,81,63
John Brown University,Arkansas,71,80,62,65.07692308,2,2,9,0,6,67,,50,68
Ouachita Baptist University,Arkansas,65,86,53,46.76923077,1,6,6,0,2,50,,31,62
Antelope Valley Community College District,California,100,,,100,0,13,63,0,0,,,,100
Art Center College of Design,California,75,77,81,77,0,1,10,0,44,,,67,78
